,Sample,CloudPercenatge,sample_std
24,target_29SND_2017-07-20_2017-12-16_1849_1977_4665_4793_28_108_72_152.npz,29.0,0.043
25,target_29SND_2017-07-20_2017-12-16_5177_5305_697_825_80_160_10_90.npz,25.0,0.015
26,target_29SND_2017-07-20_2017-12-16_5305_5433_2489_2617_82_162_38_118.npz,28.0,0.024
27,target_29SND_2017-07-25_2017-12-21_2361_2489_3001_3129_36_116_46_126.npz,31.0,0.057
28,target_29SND_2017-07-25_2017-12-21_4153_4281_1849_1977_64_144_28_108.npz,31.0,0.032
29,target_29SND_2017-07-25_2017-12-21_5049_5177_1849_1977_78_158_28_108.npz,26.0,0.039
30,target_29SND_2017-07-30_2017-12-26_3897_4025_2745_2873_60_140_42_122.npz,27.0,0.024
31,target_29SND_2017-07-30_2017-12-26_4281_4409_3897_4025_66_146_60_140.npz,32.0,0.012
32,target_29SND_2017-08-09_2018-01-05_2361_2489_5177_5305_36_116_80_160.npz,31.0,0.013
33,target_29SND_2017-08-09_2018-01-05_5177_5305_313_441_80_160_4_84.npz,32.0,0.038
34,target_29SND_2017-08-09_2018-01-05_5305_5433_1337_1465_82_162_20_100.npz,32.0,0.034
35,target_29SND_2017-08-19_2018-01-15_4665_4793_5305_5433_72_152_82_162.npz,38.0,0.042
36,target_29SND_2017-08-19_2018-01-15_5049_5177_1721_1849_78_158_26_106.npz,36.0,0.055
37,target_29SND_2017-09-08_2018-02-04_1081_1209_2233_2361_16_96_34_114.npz,51.0,0.049
38,target_29SND_2017-09-08_2018-02-04_1209_1337_1593_1721_18_98_24_104.npz,45.0,0.064
39,target_29SND_2017-09-08_2018-02-04_1209_1337_185_313_18_98_2_82.npz,62.0,0.072
40,target_29SND_2017-09-08_2018-02-04_1721_1849_2489_2617_26_106_38_118.npz,52.0,0.063
41,target_29SND_2017-09-08_2018-02-04_2617_2745_1593_1721_40_120_24_104.npz,52.0,0.02
42,target_29SND_2017-09-08_2018-02-04_3129_3257_953_1081_48_128_14_94.npz,44.0,0.017
43,target_29SND_2017-09-08_2018-02-04_3257_3385_3001_3129_50_130_46_126.npz,44.0,0.053
44,target_29SND_2017-09-08_2018-02-04_4281_4409_2873_3001_66_146_44_124.npz,48.0,0.05
45,target_29SND_2017-09-08_2018-02-04_4537_4665_825_953_70_150_12_92.npz,43.0,0.05
46,target_29SND_2017-09-08_2018-02-04_5305_5433_5305_5433_82_162_82_162.npz,39.0,0.058
47,target_29SND_2017-09-08_2018-02-04_825_953_1209_1337_12_92_18_98.npz,52.0,0.079
48,target_29SND_2017-09-18_2018-02-14_1721_1849_4025_4153_26_106_62_142.npz,57.0,0.085
49,target_29SND_2017-09-18_2018-02-14_1721_1849_569_697_26_106_8_88.npz,54.0,0.057
50,target_29SND_2017-09-18_2018-02-14_1849_1977_1081_1209_28_108_16_96.npz,51.0,0.055
51,target_29SND_2017-09-18_2018-02-14_1849_1977_4537_4665_28_108_70_150.npz,52.0,0.052
52,target_29SND_2017-09-18_2018-02-14_2105_2233_3129_3257_32_112_48_128.npz,57.0,0.05
53,target_29SND_2017-09-18_2018-02-14_2105_2233_4281_4409_32_112_66_146.npz,55.0,0.037
54,target_29SND_2017-09-18_2018-02-14_2233_2361_4665_4793_34_114_72_152.npz,60.0,0.028
55,target_29SND_2017-09-18_2018-02-14_3129_3257_4665_4793_48_128_72_152.npz,58.0,0.038
56,target_29SND_2017-09-18_2018-02-14_3513_3641_1721_1849_54_134_26_106.npz,51.0,0.039
57,target_29SND_2017-09-18_2018-02-14_4025_4153_1593_1721_62_142_24_104.npz,52.0,0.023
58,target_29SND_2017-09-18_2018-02-14_4025_4153_953_1081_62_142_14_94.npz,49.0,0.016
59,target_29SND_2017-09-18_2018-02-14_4409_4537_1977_2105_68_148_30_110.npz,61.0,0.012
60,target_29SND_2017-09-18_2018-02-14_4665_4793_2617_2745_72_152_40_120.npz,53.0,0.038
61,target_29SND_2017-09-18_2018-02-14_4665_4793_2745_2873_72_152_42_122.npz,51.0,0.045
62,target_29SND_2017-09-18_2018-02-14_4921_5049_2873_3001_76_156_44_124.npz,49.0,0.062
63,target_29SND_2017-09-18_2018-02-14_5305_5433_2233_2361_82_162_34_114.npz,56.0,0.059
64,target_29SND_2017-09-18_2018-02-14_57_185_4665_4793_0_80_72_152.npz,67.0,0.057
65,target_29SND_2017-09-18_2018-02-14_825_953_2105_2233_12_92_32_112.npz,58.0,0.048
66,target_29SND_2017-09-28_2018-02-24_1593_1721_1465_1593_24_104_22_102.npz,62.0,0.066
67,target_29SND_2017-09-28_2018-02-24_1593_1721_3129_3257_24_104_48_128.npz,63.0,0.046
68,target_29SND_2017-09-28_2018-02-24_1849_1977_1209_1337_28_108_18_98.npz,61.0,0.055
69,target_29SND_2017-09-28_2018-02-24_2105_2233_57_185_32_112_0_80.npz,62.0,0.058
70,target_29SND_2017-09-28_2018-02-24_2361_2489_825_953_36_116_12_92.npz,63.0,0.051
71,target_29SND_2017-09-28_2018-02-24_2745_2873_1337_1465_42_122_20_100.npz,70.0,0.057
72,target_29SND_2017-09-28_2018-02-24_313_441_4921_5049_4_84_76_156.npz,70.0,0.044
73,target_29SND_2017-09-28_2018-02-24_3257_3385_3513_3641_50_130_54_134.npz,64.0,0.036
74,target_29SND_2017-09-28_2018-02-24_3513_3641_1081_1209_54_134_16_96.npz,58.0,0.041
75,target_29SND_2017-09-28_2018-02-24_3513_3641_4025_4153_54_134_62_142.npz,66.0,0.062
76,target_29SND_2017-09-28_2018-02-24_3641_3769_1337_1465_56_136_20_100.npz,53.0,0.015
77,target_29SND_2017-09-28_2018-02-24_4025_4153_569_697_62_142_8_88.npz,60.0,0.035
78,target_29SND_2017-09-28_2018-02-24_4153_4281_4537_4665_64_144_70_150.npz,64.0,0.063
79,target_29SND_2017-09-28_2018-02-24_4281_4409_4153_4281_66_146_64_144.npz,54.0,0.031
80,target_29SND_2017-09-28_2018-02-24_4281_4409_4665_4793_66_146_72_152.npz,64.0,0.037
81,target_29SND_2017-09-28_2018-02-24_4537_4665_2873_3001_70_150_44_124.npz,52.0,0.026
82,target_29SND_2017-09-28_2018-02-24_5177_5305_1721_1849_80_160_26_106.npz,62.0,0.06
83,target_29SND_2017-09-28_2018-02-24_697_825_441_569_10_90_6_86.npz,70.0,0.081
84,target_29SND_2017-10-08_2018-03-06_1593_1721_3641_3769_24_104_56_136.npz,64.0,0.068
85,target_29SND_2017-10-08_2018-03-06_2233_2361_1977_2105_34_114_30_110.npz,61.0,0.077
86,target_29SND_2017-10-08_2018-03-06_2361_2489_3129_3257_36_116_48_128.npz,67.0,0.068
87,target_29SND_2017-10-08_2018-03-06_2617_2745_5049_5177_40_120_78_158.npz,63.0,0.049
88,target_29SND_2017-10-08_2018-03-06_2873_3001_185_313_44_124_2_82.npz,64.0,0.085
89,target_29SND_2017-10-08_2018-03-06_2873_3001_3001_3129_44_124_46_126.npz,62.0,0.053
90,target_29SND_2017-10-08_2018-03-06_3129_3257_1721_1849_48_128_26_106.npz,62.0,0.041
91,target_29SND_2017-10-08_2018-03-06_3769_3897_4537_4665_58_138_70_150.npz,65.0,0.071
92,target_29SND_2017-10-08_2018-03-06_4025_4153_2105_2233_62_142_32_112.npz,63.0,0.039
93,target_29SND_2017-10-08_2018-03-06_4025_4153_825_953_62_142_12_92.npz,61.0,0.029
94,target_29SND_2017-10-08_2018-03-06_4281_4409_1337_1465_66_146_20_100.npz,59.0,0.02
95,target_29SND_2017-10-08_2018-03-06_4281_4409_2233_2361_66_146_34_114.npz,61.0,0.022
96,target_29SND_2017-10-08_2018-03-06_4537_4665_1337_1465_70_150_20_100.npz,63.0,0.05
97,target_29SND_2017-10-08_2018-03-06_5049_5177_2873_3001_78_158_44_124.npz,61.0,0.048
98,target_29SND_2017-10-08_2018-03-06_5177_5305_3513_3641_80_160_54_134.npz,58.0,0.031
99,target_29SND_2017-10-08_2018-03-06_825_953_1977_2105_12_92_30_110.npz,68.0,0.059
100,target_29SND_2017-10-18_2018-03-16_1337_1465_3385_3513_20_100_52_132.npz,70.0,0.036
101,target_29SND_2017-10-18_2018-03-16_185_313_953_1081_2_82_14_94.npz,69.0,0.081
102,target_29SND_2017-10-18_2018-03-16_441_569_3897_4025_6_86_60_140.npz,69.0,0.069
103,target_29SND_2017-10-18_2018-03-16_4793_4921_4665_4793_74_154_72_152.npz,56.0,0.048
104,target_29SND_2017-10-28_2018-03-26_1337_1465_3769_3897_20_100_58_138.npz,60.0,0.038
105,target_29SND_2017-10-28_2018-03-26_1465_1593_1209_1337_22_102_18_98.npz,57.0,0.065
106,target_29SND_2017-10-28_2018-03-26_2361_2489_1337_1465_36_116_20_100.npz,54.0,0.018
107,target_29SND_2017-10-28_2018-03-26_2873_3001_1081_1209_44_124_16_96.npz,61.0,0.024
108,target_29SND_2017-10-28_2018-03-26_3129_3257_3257_3385_48_128_50_130.npz,63.0,0.046
109,target_29SND_2017-10-28_2018-03-26_4025_4153_3897_4025_62_142_60_140.npz,61.0,0.041
110,target_29SND_2017-10-28_2018-03-26_4025_4153_5177_5305_62_142_80_160.npz,57.0,0.043
111,target_29SND_2017-11-07_2018-04-05_2105_2233_1337_1465_32_112_20_100.npz,54.0,0.037
112,target_29SND_2017-11-07_2018-04-05_2873_3001_825_953_44_124_12_92.npz,58.0,0.047
113,target_29SND_2017-11-07_2018-04-05_3001_3129_441_569_46_126_6_86.npz,60.0,0.045
114,target_29SND_2017-11-07_2018-04-05_3257_3385_2745_2873_50_130_42_122.npz,60.0,0.055
115,target_29SND_2017-11-07_2018-04-05_3385_3513_441_569_52_132_6_86.npz,63.0,0.035
116,target_29SND_2017-11-07_2018-04-05_4665_4793_3513_3641_72_152_54_134.npz,59.0,0.042
117,target_29SND_2017-11-07_2018-04-05_4793_4921_3897_4025_74_154_60_140.npz,62.0,0.041
118,target_29SND_2017-11-07_2018-04-05_5305_5433_1849_1977_82_162_28_108.npz,56.0,0.034
119,target_29SND_2017-11-17_2018-04-15_5049_5177_5049_5177_78_158_78_158.npz,55.0,0.054
120,target_29SND_2017-11-27_2018-04-25_4537_4665_3897_4025_70_150_60_140.npz,50.0,0.031
121,target_29SND_2017-11-27_2018-04-25_4665_4793_441_569_72_152_6_86.npz,58.0,0.037
122,target_29SND_2017-11-27_2018-04-25_5049_5177_4665_4793_78_158_72_152.npz,48.0,0.051
123,target_29SND_2017-11-27_2018-04-25_5049_5177_569_697_78_158_8_88.npz,61.0,0.039
124,target_29SND_2017-11-27_2018-04-25_5177_5305_4409_4537_80_160_68_148.npz,58.0,0.054
125,target_29SND_2017-12-12_2018-05-10_3257_3385_3129_3257_50_130_48_128.npz,55.0,0.041
126,target_29SND_2017-12-12_2018-05-10_4921_5049_4921_5049_76_156_76_156.npz,52.0,0.041
127,target_29SND_2017-12-17_2018-05-15_3513_3641_185_313_54_134_2_82.npz,60.0,0.05
128,target_29SND_2017-12-17_2018-05-15_5305_5433_697_825_82_162_10_90.npz,54.0,0.047
129,target_29SND_2017-12-27_2018-05-25_5177_5305_3897_4025_80_160_60_140.npz,52.0,0.061
130,target_29SND_2018-01-06_2018-06-04_4921_5049_4025_4153_76_156_62_142.npz,51.0,0.044
131,target_29SND_2018-01-26_2018-06-24_5177_5305_4921_5049_80_160_76_156.npz,50.0,0.041
132,target_29SND_2018-07-05_2018-12-01_4281_4409_3257_3385_66_146_50_130.npz,29.0,0.036
133,target_29SND_2018-07-05_2018-12-01_4409_4537_3129_3257_68_148_48_128.npz,30.0,0.033
134,target_29SND_2018-07-05_2018-12-01_4921_5049_4665_4793_76_156_72_152.npz,28.0,0.07
135,target_29SND_2018-07-05_2018-12-01_5049_5177_3001_3129_78_158_46_126.npz,34.0,0.041
136,target_29SND_2018-07-15_2018-12-11_4537_4665_2745_2873_70_150_42_122.npz,23.0,0.037
137,target_29SND_2018-07-25_2018-12-21_4537_4665_2873_3001_70_150_44_124.npz,26.0,0.055
138,target_29SND_2018-08-04_2018-12-31_2105_2233_3001_3129_32_112_46_126.npz,43.0,0.03
139,target_29SND_2018-08-04_2018-12-31_2233_2361_4153_4281_34_114_64_144.npz,47.0,0.073
140,target_29SND_2018-08-04_2018-12-31_3257_3385_4025_4153_50_130_62_142.npz,34.0,0.027
141,target_29SND_2018-08-04_2018-12-31_3513_3641_4921_5049_54_134_76_156.npz,40.0,0.034
142,target_29SND_2018-08-04_2018-12-31_3769_3897_1465_1593_58_138_22_102.npz,49.0,0.047
143,target_29SND_2018-08-04_2018-12-31_4281_4409_2233_2361_66_146_34_114.npz,40.0,0.047
144,target_29SND_2018-08-04_2018-12-31_5049_5177_2489_2617_78_158_38_118.npz,35.0,0.032
145,target_29SND_2018-08-14_2019-01-10_1849_1977_3129_3257_28_108_48_128.npz,44.0,0.042
146,target_29SND_2018-08-14_2019-01-10_1977_2105_3001_3129_30_110_46_126.npz,45.0,0.045
147,target_29SND_2018-08-14_2019-01-10_2361_2489_3769_3897_36_116_58_138.npz,37.0,0.039
148,target_29SND_2018-08-14_2019-01-10_3257_3385_1849_1977_50_130_28_108.npz,43.0,0.052
149,target_29SND_2018-08-14_2019-01-10_3385_3513_3641_3769_52_132_56_136.npz,39.0,0.054
150,target_29SND_2018-08-14_2019-01-10_3513_3641_5305_5433_54_134_82_162.npz,32.0,0.031
151,target_29SND_2018-08-14_2019-01-10_4409_4537_2873_3001_68_148_44_124.npz,27.0,0.063
152,target_29SND_2018-08-24_2019-01-20_2489_2617_3385_3513_38_118_52_132.npz,38.0,0.048
153,target_29SND_2018-08-24_2019-01-20_2745_2873_3897_4025_42_122_60_140.npz,36.0,0.051
154,target_29SND_2018-08-24_2019-01-20_3257_3385_2617_2745_50_130_40_120.npz,39.0,0.045
155,target_29SND_2018-09-03_2019-01-30_1081_1209_1593_1721_16_96_24_104.npz,41.0,0.045
156,target_29SND_2018-09-03_2019-01-30_1593_1721_2361_2489_24_104_36_116.npz,46.0,0.025
157,target_29SND_2018-09-03_2019-01-30_1721_1849_3641_3769_26_106_56_136.npz,49.0,0.048
158,target_29SND_2018-09-03_2019-01-30_1849_1977_1593_1721_28_108_24_104.npz,47.0,0.071
159,target_29SND_2018-09-03_2019-01-30_2105_2233_3513_3641_32_112_54_134.npz,48.0,0.035
160,target_29SND_2018-09-03_2019-01-30_2233_2361_3513_3641_34_114_54_134.npz,42.0,0.04
161,target_29SND_2018-09-03_2019-01-30_2617_2745_3513_3641_40_120_54_134.npz,46.0,0.049
162,target_29SND_2018-09-03_2019-01-30_2873_3001_1337_1465_44_124_20_100.npz,56.0,0.035
163,target_29SND_2018-09-03_2019-01-30_3001_3129_1337_1465_46_126_20_100.npz,58.0,0.054
164,target_29SND_2018-09-03_2019-01-30_3001_3129_441_569_46_126_6_86.npz,55.0,0.043
165,target_29SND_2018-09-03_2019-01-30_3641_3769_1209_1337_56_136_18_98.npz,54.0,0.031
166,target_29SND_2018-09-03_2019-01-30_3641_3769_4921_5049_56_136_76_156.npz,41.0,0.054
167,target_29SND_2018-09-03_2019-01-30_4025_4153_1977_2105_62_142_30_110.npz,40.0,0.034
168,target_29SND_2018-09-03_2019-01-30_441_569_1593_1721_6_86_24_104.npz,53.0,0.036
169,target_29SND_2018-09-03_2019-01-30_4665_4793_1849_1977_72_152_28_108.npz,38.0,0.046
170,target_29SND_2018-09-03_2019-01-30_4793_4921_3641_3769_74_154_56_136.npz,42.0,0.038
171,target_29SND_2018-09-03_2019-01-30_4921_5049_3641_3769_76_156_56_136.npz,43.0,0.033
172,target_29SND_2018-09-03_2019-01-30_4921_5049_3897_4025_76_156_60_140.npz,45.0,0.05
173,target_29SND_2018-09-03_2019-01-30_5049_5177_1081_1209_78_158_16_96.npz,51.0,0.042
174,target_29SND_2018-09-03_2019-01-30_569_697_185_313_8_88_2_82.npz,55.0,0.072
175,target_29SND_2018-09-03_2019-01-30_57_185_3129_3257_0_80_48_128.npz,64.0,0.064
176,target_29SND_2018-09-13_2019-02-09_1081_1209_313_441_16_96_4_84.npz,63.0,0.056
177,target_29SND_2018-09-13_2019-02-09_185_313_2745_2873_2_82_42_122.npz,49.0,0.05
178,target_29SND_2018-09-13_2019-02-09_2617_2745_1465_1593_40_120_22_102.npz,63.0,0.018
179,target_29SND_2018-09-13_2019-02-09_2745_2873_3769_3897_42_122_58_138.npz,46.0,0.061
180,target_29SND_2018-09-13_2019-02-09_3001_3129_2361_2489_46_126_36_116.npz,47.0,0.06
181,target_29SND_2018-09-13_2019-02-09_3129_3257_4025_4153_48_128_62_142.npz,51.0,0.058
182,target_29SND_2018-09-13_2019-02-09_3385_3513_185_313_52_132_2_82.npz,65.0,0.041
183,target_29SND_2018-09-13_2019-02-09_3641_3769_3513_3641_56_136_54_134.npz,52.0,0.072
184,target_29SND_2018-09-13_2019-02-09_3769_3897_1593_1721_58_138_24_104.npz,59.0,0.036
185,target_29SND_2018-09-13_2019-02-09_3897_4025_4793_4921_60_140_74_154.npz,44.0,0.043
186,target_29SND_2018-09-13_2019-02-09_4793_4921_2361_2489_74_154_36_116.npz,44.0,0.054
187,target_29SND_2018-09-13_2019-02-09_697_825_2489_2617_10_90_38_118.npz,49.0,0.041
188,target_29SND_2018-09-23_2019-02-19_1849_1977_2617_2745_28_108_40_120.npz,53.0,0.044
189,target_29SND_2018-09-23_2019-02-19_1977_2105_3641_3769_30_110_56_136.npz,48.0,0.037
190,target_29SND_2018-09-23_2019-02-19_1977_2105_3769_3897_30_110_58_138.npz,45.0,0.062
191,target_29SND_2018-09-23_2019-02-19_2105_2233_2617_2745_32_112_40_120.npz,39.0,0.027
192,target_29SND_2018-09-23_2019-02-19_2361_2489_185_313_36_116_2_82.npz,59.0,0.029
193,target_29SND_2018-09-23_2019-02-19_2361_2489_2617_2745_36_116_40_120.npz,45.0,0.015
194,target_29SND_2018-09-23_2019-02-19_2361_2489_3257_3385_36_116_50_130.npz,47.0,0.033
195,target_29SND_2018-09-23_2019-02-19_3257_3385_3897_4025_50_130_60_140.npz,48.0,0.025
196,target_29SND_2018-09-23_2019-02-19_4025_4153_1337_1465_62_142_20_100.npz,45.0,0.021
197,target_29SND_2018-09-23_2019-02-19_4537_4665_3641_3769_70_150_56_136.npz,34.0,0.072
198,target_29SND_2018-09-23_2019-02-19_5049_5177_2361_2489_78_158_36_116.npz,40.0,0.054
199,target_29SND_2018-09-23_2019-02-19_5049_5177_4921_5049_78_158_76_156.npz,24.0,0.036
200,target_29SND_2018-09-23_2019-02-19_5177_5305_5305_5433_80_160_82_162.npz,31.0,0.048
201,target_29SND_2018-09-23_2019-02-19_697_825_3001_3129_10_90_46_126.npz,49.0,0.063
202,target_29SND_2018-09-23_2019-02-19_697_825_3257_3385_10_90_50_130.npz,49.0,0.055
203,target_29SND_2018-09-28_2019-02-24_1081_1209_5305_5433_16_96_82_162.npz,52.0,0.044
204,target_29SND_2018-09-28_2019-02-24_1977_2105_4665_4793_30_110_72_152.npz,42.0,0.035
205,target_29SND_2018-09-28_2019-02-24_1977_2105_569_697_30_110_8_88.npz,50.0,0.051
206,target_29SND_2018-09-28_2019-02-24_3641_3769_3001_3129_56_136_46_126.npz,31.0,0.07
207,target_29SND_2018-09-28_2019-02-24_4537_4665_3257_3385_70_150_50_130.npz,33.0,0.035
208,target_29SND_2018-09-28_2019-02-24_5305_5433_3129_3257_82_162_48_128.npz,33.0,0.039
209,target_29SND_2018-09-28_2019-02-24_569_697_3385_3513_8_88_52_132.npz,58.0,0.046
210,target_29SND_2018-10-03_2019-03-01_1465_1593_953_1081_22_102_14_94.npz,42.0,0.036
211,target_29SND_2018-10-03_2019-03-01_1977_2105_1465_1593_30_110_22_102.npz,46.0,0.038
212,target_29SND_2018-10-03_2019-03-01_2617_2745_953_1081_40_120_14_94.npz,51.0,0.019
213,target_29SND_2018-10-03_2019-03-01_2873_3001_4153_4281_44_124_64_144.npz,49.0,0.045
214,target_29SND_2018-10-03_2019-03-01_4281_4409_4921_5049_66_146_76_156.npz,32.0,0.021
215,target_29SND_2018-10-03_2019-03-01_4537_4665_3001_3129_70_150_46_126.npz,34.0,0.025
216,target_29SND_2018-10-03_2019-03-01_4537_4665_5049_5177_70_150_78_158.npz,34.0,0.017
217,target_29SND_2018-10-03_2019-03-01_569_697_2105_2233_8_88_32_112.npz,40.0,0.043
218,target_29SND_2018-10-03_2019-03-01_953_1081_953_1081_14_94_14_94.npz,44.0,0.053
219,target_29SND_2018-10-08_2019-03-06_2617_2745_4793_4921_40_120_74_154.npz,48.0,0.054
220,target_29SND_2018-10-08_2019-03-06_3513_3641_3129_3257_54_134_48_128.npz,32.0,0.052
221,target_29SND_2018-10-08_2019-03-06_3641_3769_3257_3385_56_136_50_130.npz,35.0,0.071
222,target_29SND_2018-10-08_2019-03-06_3769_3897_2361_2489_58_138_36_116.npz,35.0,0.046
223,target_29SND_2018-10-08_2019-03-06_4537_4665_4665_4793_70_150_72_152.npz,38.0,0.02
224,target_29SND_2018-10-08_2019-03-06_4665_4793_3129_3257_72_152_48_128.npz,35.0,0.03
225,target_29SND_2018-10-08_2019-03-06_4921_5049_4921_5049_76_156_76_156.npz,34.0,0.02
226,target_29SND_2018-10-13_2019-03-11_1593_1721_1977_2105_24_104_30_110.npz,39.0,0.058
227,target_29SND_2018-10-13_2019-03-11_3769_3897_953_1081_58_138_14_94.npz,42.0,0.033
228,target_29SND_2018-10-13_2019-03-11_4153_4281_4409_4537_64_144_68_148.npz,39.0,0.034
229,target_29SND_2018-10-13_2019-03-11_4409_4537_4409_4537_68_148_68_148.npz,35.0,0.022
230,target_29SND_2018-10-13_2019-03-11_4921_5049_2105_2233_76_156_32_112.npz,31.0,0.027
231,target_29SND_2018-10-13_2019-03-11_5049_5177_3129_3257_78_158_48_128.npz,31.0,0.028
232,target_29SND_2018-10-13_2019-03-11_5305_5433_2489_2617_82_162_38_118.npz,32.0,0.057
233,target_29SND_2018-10-13_2019-03-11_697_825_2873_3001_10_90_44_124.npz,44.0,0.048
234,target_29SND_2018-10-18_2019-03-16_1081_1209_2617_2745_16_96_40_120.npz,36.0,0.031
235,target_29SND_2018-10-18_2019-03-16_3385_3513_1209_1337_52_132_18_98.npz,42.0,0.045
236,target_29SND_2018-10-18_2019-03-16_5049_5177_4537_4665_78_158_70_150.npz,31.0,0.021
237,target_29SND_2018-10-18_2019-03-16_825_953_3641_3769_12_92_56_136.npz,48.0,0.057
238,target_29SND_2018-10-23_2019-03-21_3001_3129_1977_2105_46_126_30_110.npz,34.0,0.05
239,target_29SND_2018-10-23_2019-03-21_3257_3385_4537_4665_50_130_70_150.npz,30.0,0.013
240,target_29SND_2018-10-23_2019-03-21_4025_4153_4281_4409_62_142_66_146.npz,36.0,0.054
241,target_29SND_2018-10-23_2019-03-21_4153_4281_2617_2745_64_144_40_120.npz,35.0,0.017
242,target_29SND_2018-10-23_2019-03-21_4153_4281_4281_4409_64_144_66_146.npz,30.0,0.032
243,target_29SND_2018-10-23_2019-03-21_4537_4665_5305_5433_70_150_82_162.npz,33.0,0.022
244,target_29SND_2018-10-23_2019-03-21_4665_4793_4281_4409_72_152_66_146.npz,27.0,0.018
245,target_29SND_2018-11-02_2019-03-31_3769_3897_3897_4025_58_138_60_140.npz,40.0,0.071
246,target_29SND_2018-11-12_2019-04-10_1081_1209_4025_4153_16_96_62_142.npz,41.0,0.044
247,target_29SND_2018-11-12_2019-04-10_1849_1977_569_697_28_108_8_88.npz,30.0,0.026
248,target_29SND_2018-11-12_2019-04-10_2361_2489_4025_4153_36_116_62_142.npz,39.0,0.059
249,target_29SND_2018-11-12_2019-04-10_2489_2617_3769_3897_38_118_58_138.npz,43.0,0.057
250,target_29SND_2018-11-12_2019-04-10_2873_3001_1849_1977_44_124_28_108.npz,38.0,0.025
251,target_29SND_2018-11-12_2019-04-10_3001_3129_1849_1977_46_126_28_108.npz,40.0,0.059
252,target_29SND_2018-11-12_2019-04-10_3897_4025_3001_3129_60_140_46_126.npz,40.0,0.03
253,target_29SND_2018-11-12_2019-04-10_4665_4793_5305_5433_72_152_82_162.npz,45.0,0.052
254,target_29SND_2018-11-12_2019-04-10_825_953_1849_1977_12_92_28_108.npz,38.0,0.064
255,target_29SND_2018-11-22_2019-04-20_185_313_4025_4153_2_82_62_142.npz,45.0,0.029
256,target_29SND_2018-11-22_2019-04-20_2489_2617_3129_3257_38_118_48_128.npz,43.0,0.036
257,target_29SND_2018-11-22_2019-04-20_2745_2873_3001_3129_42_122_46_126.npz,38.0,0.035
258,target_29SND_2018-11-22_2019-04-20_2873_3001_569_697_44_124_8_88.npz,43.0,0.023
259,target_29SND_2018-11-22_2019-04-20_3001_3129_1721_1849_46_126_26_106.npz,43.0,0.044
260,target_29SND_2018-11-22_2019-04-20_3257_3385_1593_1721_50_130_24_104.npz,41.0,0.048
261,target_29SND_2018-11-22_2019-04-20_3385_3513_5049_5177_52_132_78_158.npz,45.0,0.056
262,target_29SND_2018-11-22_2019-04-20_3513_3641_2105_2233_54_134_32_112.npz,36.0,0.049
263,target_29SND_2018-11-22_2019-04-20_4153_4281_5177_5305_64_144_80_160.npz,50.0,0.047
264,target_29SND_2018-11-22_2019-04-20_4409_4537_1081_1209_68_148_16_96.npz,39.0,0.046
